allein;sólo
die Rose;rosa
die Sache;cosa
der Schauspieler;actor
schlafen;dormir
die Schokolade;chocolate
die Schule;escuela
der Schutz;protección
die Sekunde;segundo
setzen;poner
der Sommer;verano
der Sonntag;domingo
die Soße;salsa
das Spanien;España
spielen;jugar
die Sprache;idioma
sprechen;hablar
der Stein;piedra
der Stern;estrella
die Stimme;voz
der Strand;playa
die Straße;calle
die Tasche;bolsa
tauschen;cambiar
das Telefon;teléfono
das Ticket;billete
das Tier;animal
der Tisch;mesa
der Tourist;turista
die Tür;puerta
die Uhr;reloj
die Universität;universidad
der Urlaub;vacaciones
der Vater;padre
verkaufen;vender
der Verkehr;tráfico
verlassen;salir
verlieren;perder
verstehen;entender
das Weihnachten;Navidad
der Wein;vino
die Welt;mundo
die Wirtschaft;economía
wohnen;vivir
die Wohnung;piso
zählen;contar
die Zahlung;pago
die Zeitung;periódico
das Zimmer;cuarto
der Zug;tren
machen;hacer
der Mai;mayo
der Mais;maíz
der Mann;hombre
die Marke;marca
der Markt;mercado
der März;marzo
das Meer;mar
der Meter;metro
das Minimum;mínimo
die Minute;minuto
modern;moderno
möglich;posible
der Moment;momento
der Monat;mes
das Museum;museo
nah;cerca
der Name;nombre
natürlich;natural
neu;nuevo
der November;noviembre
das Öl;aceite
der Onkel;tío
orange;naranja
die Orange;naranja
der Osten;este
der Park;parque
die Party;fiesta
die Person;persona
der Planet;planeta
der Platz;plaza
die Position;posición
der Preis;precio
das Problem;problema
das Produkt;producto
das Projekt;proyecto
reich;rico
die Reise;viaje
reisen;viajar
das Restaurant;restaurante
der Rock;falda
sagen;decir
schreiben;escribir
der See;lago
sehen;ver
sein;ser
sein;estar
die Seite;página
der September;septiembre
die Sicherheit;seguridad
die Situation;situación
der Ski;esquí
die Sonne;sol
spät;tarde
der Sport;deporte
der Staat;estado
die Stadt;ciudad
der Student;estudiante
die Stunde;hora
suchen;buscar
der Süden;sur
süß;dulce
der Tag;día
das Tal;valle
die Tante;tía
der Tee;té
das Teil;parte
das Tennis;tenis
der Text;texto
das Theater;teatro
der Tourismus;turismo
der Transport;transporte
die Uhrzeit;hora
das Unternehmen;empresa
warm;caliente
das Wasser;agua
der Weg;camino
weiß;blanco
das Wetter;tiempo
der Wind;viento
der Winter;invierno
wissen;saber
wissen;conocer
die Woche;semana
das Wohnzimmer;salón
wollen;querer
das Wort;palabra
die Zeit;tiempo
das Zentrum;centro
